title,url,source_name,date_found
Dozens detained as opponents and supporters of Serbian government clash during protests - PBS,https://news.google.com/rss/articles/CBMivwFBVV95cUxQV3R3NDRpb2c3YXZWUWlaV0pSMEdEQTBGOHgwekZOeTRSUXNoNE1rdndJN0RKQTdlNk1teVlmZFcyZ09yTTF6TjdLSWhGRkpXcTBTb3V3RGs5M0RRSTdONENuMWlaRjdxTVV1dWJvb29ITUFLeGhtczRsWkJ0WXRGZThCMVFkcDM0YkJadGh0RUxOcFp5QW1KUmYwVTVTR3czNHF6Q1ExY1RmVWpXeVJ1UGtSaFpLVlFkRWJyeUd2RdIBxAFBVV95cUxPRktDV3Q0Z2ZQWTFnRlZaT3h2cUJVbThva1Zybmo1VG9EeWJmUWwydWsxb1lpV0FQajVKTmlkREJuMnk1QzJNY0xtZFlvYjJremI4ZThJX1FSLU4xUjVwRFpDRmthUDc3eWkycjBFOEJDY1RRLTlUTVhuQUo1NEVObjZIY29jbTRfWUNpdTctUzAyVm11SEdjNGRRbHJRMnZmR3FocndRd0huVlpTaGFpNFVxeVVJcUgtMVVQZ3E4dkpSYkc2?oc=5,PBS,2025-08-14
"While targeting its critics for foreign funding, Serbian state receives billions from abroad - European Western Balkans",https://news.google.com/rss/articles/CBMi1AFBVV95cUxNVkM5bmpBTk9KenhWYWxianZib05DYTBIWjZTdEY4OEVwREh2VkE2LVVaVDJvQ1k3S0kzTUlzV3duUk9WNXZIOTBUZGR4cC1KT2NQbXBTUGJxX2xDdDQ5bmdBa3Y4MmxvTkxTWGFFcUtUZTd3REFYV190RTBPaHVkYWl0ZzJHeUg5VVdoT0JZT2xRbUVhMGJQdTI2Qlh0cThaeGJBcWZXbVN3eG14Y0RFbTlXUXJsZU9YM1ZCSnQxQVZTYW5aLWdSd2NXSmFrVHNRN2c3MQ?oc=5,European Western Balkans,2025-06-06
Serbia's police intervene as ruling party supporters face off against anti-government protesters - France 24,https://news.google.com/rss/articles/CBMi1wFBVV95cUxOSVlCUkUzR3JDcVJLNHYyLVlZNDItcy1DcXpQUXVFR1lFbUtZeGpXc2VYbUk0WVZKOUdYQjAyajhWNXEzcnI2UmV2ci13MmlkVjJOaHRBSFVpRkV4MjlCRkxwbDVURkxJUHZFY0NQeGxobE9Dd0tJbm9uLV84SWtWY2pJcFVMWk1qYVhNMV9Na2lwbWZBOGxCV09KbWJ2TkxNa240VGNoblExMXdVQU05cDFUNTZGLUJSX2EwZ3N2eHV3Ylc5anNWNnpfUTRlbG56MXNPTDdQZw?oc=5,France 24,2025-08-14
‘The West created Vučić’: Serbian journalists say repression is tightening - The Parliament Magazine,https://news.google.com/rss/articles/CBMiuwFBVV95cUxPMW5BZjNGZDl2VmF6Wkc1V0tOVUk2N0MteEYxMnBzcHRoRlo0OW5xT0pTWmlCX2JwUVF2dG53ZzRsclZPYXBEZHdtRlJpeGxta3VJOXBpcDdyQV9weWN4R3ZuRGtxTTgwZDdNNmJIa2JFOXJ5c2VqZUw1T0ZqQUNnOHNaX01hazlpQ0lsUnJyV0ZUN1Jyc1FhaTRLQmxHUVJLYWpQb0pIb0VVdWpUWW5TS3BRMzBWODlPa2VZ?oc=5,The Parliament Magazine,2025-05-21
Riot police clash with student-led protesters calling for snap elections in Serbia - Euronews.com,https://news.google.com/rss/articles/CBMiygFBVV95cUxQdzZMSlZKalRzNkxiS3huTXhPMVhsVXZ5VHJIMFJxMi01UWVIMGl2MjBkd3NFY3N6YV8yY3JWUnJtT3RvZUNjVC1aQ1RmWWRwOW12SUMwVkVFQzczUDkwTkJWa19qYXZXcXBIVEtGV1hjQTVKMWQzclN5d0tmR0I0UXlnYURGMlk5aVFxZE5RR3AwVHg0RVRseW1pUi1QUkhwbTdRcnN1TkFkUmhHNzFQZ2wzdy1tZWluN244YVltR3pvTV96a1kxTlB3?oc=5,Euronews.com,2025-06-28
Protesters Demand Snap Elections in Serbia Despite Ruling Party Wins - Hungarian Conservative,https://news.google.com/rss/articles/CBMirwFBVV95cUxPR1FWd3ZKMXJURDJyUkpjRUpwRklHOWswY1VoNFM4amlqYkZoWldwUEotTGpnZ3poSGdxRHlwejNFM0hCZXl3X2ZLQno1UFdlNm5ydXNLd29FN1ZES1N0elJIWERSZkxhSUY1N3JuM3FCc2FWRVdHbllzS1NyaEhWdm9pc1FfcmV6ZVVBaFU2bERaUEVyQTZoZFRSMHNueTQ3MFpKM2R1Y1AyZTVGWHM4?oc=5,Hungarian Conservative,2025-07-02
Serbian antigovernment protests escalate in third night of clashes - Al Jazeera,https://news.google.com/rss/articles/CBMiqwFBVV95cUxOY05rOXRaeVM5UkYtWGt1aXlnZ1ZwaS1XWk80MmZiZ1luSmpLNHFTWUZfZkZheVFNRUQ4VUN1WmlEMGJkNHBra1prQ2diTVpvbVN4RGpReVVLVXg2bTZKYXVEcTRJSmlUUnB1dDc3aEx0Q1MxalVLaE5wT2xTekRwUlB0YTJ2dTRCekxIcFhvM1lqa1Z0Y0lFMjBiUzZGMTFsVS0zbTN4LXptYknSAbABQVVfeXFMTUxJczJwZkdYSjRoNEhPNnAyNWhtcWNFWTc1S3FCcnN3T3I0VTRYRl83Y3VlMHNlakplMjVuYzEzM0Z6bzVWTWZvY2xVQ2o4TEx6d3A5eU82cTFjc3lvQXhqbXZfemZYcDJwMWdBWHhZcmJyYVpsemhLb3drRmpTLXhhOUxBanRkY2Fybk1FQUFWV1RJbXgxdThjXzRlS1VkUDVTemlpSm5odzdhTzVtTXM?oc=5,Al Jazeera,2025-08-14
Serbian police allow masked goons to beat citizens - Civil Rights Defenders,https://news.google.com/rss/articles/CBMihAFBVV95cUxOWmZZRmI4RVZFX051WW5zWC1rRUlEZ05HS3RGNWVCYWZzYXR3Zk1kNDNzbmNpUE5OWHBteTJLbC1VamFEVThyMURWTlU1dUNBQWpOeGZXMG1XcEs5dmR4dEo0SWYzVHQwdWlaMGFSNXVoeTFSM1ROMDhnSGtXT2ZlSmZsZ0E?oc=5,Civil Rights Defenders,2025-08-14
"Tensions soar in Serbia as angry protesters clash with police, set fire to party offices - NBC News",https://news.google.com/rss/articles/CBMirwFBVV95cUxQX0c1czBQMzRZZlM4WlBfQlBJdDl2My1vOGhPUUIzRGVaaHdmRThWX1BvdFlHWjJlNm1VME8zVXNqeDhmbnRGWmRpOF9VUVE0WXF1WlpQU1NCbXRPRnRLWnVCTno2U1lQSXN6TW9WZVZOcTFxZnFpc3BHRnE2U2EyQ1VHdnJCZXlvM1FsOFVGYlJFNmMyY2FLcng1UDJXSEhaM0Q0em1VMEZwZ3p6dTdB0gFWQVVfeXFMTkhGNUUtTmdBNFRmU0Nlc2g1U1k5YUF1aTFsMEdVYUQ5b0hIb1ljdDVmTFVlR2QwY1dEcFl1Mi1VQ1cwakVyTkhWaGZfOUtLOVlHQ19uM0E?oc=5,NBC News,2025-08-17
Serbia's police intervene to end standoff between ruling party supporters and anti-government protesters - Reuters,https://news.google.com/rss/articles/CBMitwFBVV95cUxNcjFJYUREVjktSlFTSk1uSU4ybElqMy1wY3o0Uk5nSS1NSGk2b1VFMzZWUVlIVWllckloNndwNFhKYkVFcVZSa1pFaFRYWnhYVWV0SlQzcUZFQkxndUVFU3dJcDAtc2JsMjdjTUg0Sk42STNQaDlmcnVSeWNER0RhS3ZHMGJkU3lia3F3YVQyMjF0anNFNHZjUFZzSmVEUUpxT3FfYml4ZWhldXUtUEFTSmoxd1ViV2c?oc=5,Reuters,2025-08-14
