title,url,source_name,date_found
A driver rams an anti-government rally in Serbia's capital and injures one protester - Lufkin Daily News,https://lufkindailynews.com/anpa/international/university-students-lead-a-strike-in-serbia-as-populist-president-plans-a-rally-to-counter/article_643bc0b0-4add-5c71-9646-8bfab005164d.html,Lufkin Daily News,2025-01-24
A driver rams an anti-government rally in Serbia’s capital and injures one protester - The Associated Press,https://apnews.com/article/serbia-protests-vucic-belgrade-strike-jagodina-91718d6702f44488fe52a7231ddcaa88,The Associated Press,2025-01-24
Analysis: Serbian PM Milos Vucevic's Resignation May Not Stop Protests - Radio Free Europe / Radio Liberty,https://www.rferl.org/a/serbia-novisad-vucevic--vucic-protests/33291903.html,Radio Free Europe / Radio Liberty,2025-01-28
"Analysis: Vučić is still protected by the EU and the US, but his government is wavering - Vijesti.me",https://en.vijesti.me/amp/743391/The-analyses-of-the-wolf-are-still-guarding-the-EU-now%2C-but-his-power-is-wavering.,Vijesti.me,2025-01-31
Clock ticks as Serbia's ruling party must agree new PM or trigger election - Gulf Digital News,https://www.gdnonline.com/Details/1343324/Clock-ticks-as-Serbias-ruling-party-must-agree-new-PM-or-trigger-election,Gulf Digital News,2025-01-29
Clock ticks as Serbia's ruling party must agree new PM or trigger election - Yahoo News UK,https://uk.news.yahoo.com/clock-ticks-serbias-ruling-party-131150118.html,Yahoo News UK,2025-01-29
Driver rams anti-government protesters in Serbia - Sky News,https://news.sky.com/video/driver-rams-anti-government-protesters-in-serbia-13296737,Sky News,2025-01-25
Driver rams anti-government rally in Serbia’s capital and injures one protester - MSN,https://www.msn.com/en-us/news/world/driver-rams-anti-government-rally-in-serbia-s-capital-and-injures-one-protester/ar-AA1xO6Ah,MSN,2025-01-25
Encrypted Chats Expose Rival Factions Around Serbia’s Ruling Party - OCCRP,https://www.occrp.org/en/news/encrypted-chats-expose-rival-factions-around-serbias-ruling-party,OCCRP,2025-01-31
EU criticized for staying silent on momentous protests in Serbia - European Western Balkans,https://europeanwesternbalkans.com/2025/01/29/eu-criticized-for-staying-silent-on-momentous-protests-in-serbia/,European Western Balkans,2025-01-29
