title,url,source_name,date_found
A double bind: How unrest and geopolitics could end Serbia’s government - European Council on Foreign Relations,https://news.google.com/rss/articles/CBMimgFBVV95cUxQOGRMVnk0VFF3YkJfRnQtRnZSWmt6enpsaWdkVFh5anBrUm1DWDk4bFNYRGljQXZuNnhpZ0t2Vk05eUpJR0JXeFVIMGdaajRaRHdHX0RWeklVYkthZDM2QUV6cVlzOHhpWk9FeEdfbFNIV3RJdlJXQ0hfX2RFd19vV2lIMnlRNFZYcWtkVDdielprc0t2T1V6ZWtn?oc=5,European Council on Foreign Relations,2025-02-06
"Protests over train station collapse grip Serbia, demand government action - Al Jazeera English",https://news.google.com/rss/articles/CBMiogFBVV95cUxNcThtS0hxZzF1b1o4U1BDTGVHTmRBTjJLX0JrcnA4VWs0M2ZmZnRxUS1aRldHRG1tX1p5LXpweXE5bTRkYWs3NDdpdk5ZRFBfV29UOTljdHpjekRrZVR0VndwVjQzNVNqQURBR1ZkNE04ZzI4c0RYcUlLMEVsX25JSGNxbUxiZ2stU1ByUnpGNWNWOF9xSUtUenc1VTBJbktkT1HSAacBQVVfeXFMT2xycXNWZ0tvNW9yaUlRY2E0blFWbndHd2FXSC1Qa2ROYmRDZDRya0RFQnp3Q3VrWHdkMGxlX0REWkpKNlZQbEFmbUpwMEJvNXdGbnRMLURrSmo4ME5ybmxvdktrb1daOURkZlllcVJEdlRsR2UzQkdCekFwaDdwdmxLUVRqZFNFa1JVenpValFVZW5VdWJXLS1oY0RGTlZXdDkxUjZXT0U?oc=5,Al Jazeera English,2025-02-15
Thousands rally in Serbia as anger over corruption swells - Reuters,https://news.google.com/rss/articles/CBMiogFBVV95cUxNOE9IQkxXUE5fZTNzajFlNENibTlTSzZvM2VIdnZjNURNRmVQcTJVSTR4RmF3WXhWSVJNVEhhUEdJVkZ2aVpYUWlTVmZlcXFOMm8tc0VqS3ZfeldYaEFCSG1SRWlxM3FBaG80eUg3QUtMTXJjOTZTSUdBdjhTblZtaVpvbEZ6QXg4aC13Y203N2kwd2pRN0M4bk5ESkhyV0llbVE?oc=5,Reuters,2025-02-16
Serbian Students to Government: “You Have Blood on Your Hands” - Foreign Policy In Focus,https://news.google.com/rss/articles/CBMigwFBVV95cUxOZ3JoRXY1NHVFd2xBNGdQa0dKUVd4MWFhSDNsV25JNGxBaHc2bktJREFJWFVvTkRvdkFMX3JlbEU5NUxub1Zxd2hWUUVwQzhVM3cxS0pGR3VhQzEyWlZ6ODNOc1FQZTR5Uy1RQkx5UXgtNGx0UEh6eEMxcWxWM2pROXVfNA?oc=5,Foreign Policy In Focus,2025-02-05
Serbia’s Mass Protests Against a Crony-Capitalist Government - Jacobin magazine,https://news.google.com/rss/articles/CBMibEFVX3lxTFAzeUhDVjhQNlExMldiTHZ3anVtd3QzS0FKRWR6eHBtRW4zQUtwM3hrVWI1STctc3l6NjNtb3U2T014TFFTbXJTakJxTzVNcFczSEY2UnBJMEd2bndZU0ZaNjJ2c29lT2Jham13bA?oc=5,Jacobin magazine,2025-02-01
Are Serbian Protests Starting To Loosen Vucic's Grip On Power? - Radio Free Europe / Radio Liberty,https://news.google.com/rss/articles/CBMiiAFBVV95cUxPeTdmMXduUHc5Q1NselNORlFYNkduT2NPMjlOd1VGaEx0Vk5qTEE2N0dvNHE3dXFKeHRDMDVYUmxkVmhkaU1xZ1dKWWI0U2dTa0JnSmd6X2tpLTVJNFd3cHVZeVdNbl9UcXlRa3AyWi0tOU9vTkNYUk5IVENVNDY4T0VlRWNOckU00gGLAUFVX3lxTE1CY0tmR1J0bVZvaXdaaEFZSkdEeWJmUUsxTlZPNTN3N055ZUkwZ052VHpSYlg0YlZhRXUzQi1vWFNYakVudHFPd01wU0hTaWI1V0VtUEE1cnc2R0RpX2dsS2FJYVpaNHpjOFUzQWJRNnpnNDZpRG9oLUx5eEFhQ2gzSW5pVUl5SnZFQm8?oc=5,Radio Free Europe / Radio Liberty,2025-02-06
Major anti-corruption protests in Serbia add to pressure on President Vučić - The Guardian,https://news.google.com/rss/articles/CBMivAFBVV95cUxNbXQ2QWUwTmV2VGdraVdTMmQ2M011U1dGWDBOanY4cXVxZm9DTEtwY1NyZ2RLcXJQRHB5TXp2WmFMbkJQUnRGRVk3VW1CQ3NCdXdhQ29fM2l0OFNoR3B3Q3ZJajFYVnBJRVMtTmsxVV9UTWh6YkNBc09ZNWExRkVxS0lVNS1zaHQzdXpBSkM0aEk3cDM3bjczc1gxcE8weXZON0JLVmlRMElxajhaMnU1STB0cmpEbjFHTzVIMg?oc=5,The Guardian,2025-02-02
Thousands mark Serbian Statehood Day with mass protest against corruption - FRANCE 24 English,https://news.google.com/rss/articles/CBMisgFBVV95cUxNWldTYVVnQ1dSYmlTZnFBZnN1U3g4VVV6UHN4S0pwc3NYWXlDYTRZS0dMWk45MTVRa1h1LUdXOUFfWHFFaGktVXEyaTZxY2VPYWdQUmtYam1xc3I4c01nQXF2eHhfc2sxdEFYbHY3WFBGQVd3VnVsZXZfTFphb0Y5LTlPNUVqTHJuWWJMVTh0UktZbTNJcXZUWjlBNVpnRXBtdXpjV0pIbE92MnRPVDR6WXJB?oc=5,FRANCE 24 English,2025-02-15
"Serbia | History, Geography, & People - Britannica",https://news.google.com/rss/articles/CBMiUEFVX3lxTE9kRkpvdzhiWTlHbFM1cDJzWFlhWkozaWp1UFdwNE01N1dwaGZBMUdLb09LVzUxNEFnYzJxaHJxa0czRExBZW5HVldFTk0wRDZG?oc=5,Britannica,2025-02-15
"Serbia's striking students, president hold parallel rallies - Voice of America",https://news.google.com/rss/articles/CBMingFBVV95cUxOcl9ZUDAxOTlEdU04WUN0VTJpSDIzWmdka3Z5bXVxTVBsT2ZRYnZPOUhmQXF2bVRROXc2a0dtbWd2WE5tN2h6TGZVeFNUR1gtaDAwbnZwU1dEak1xT2N1VVBtVmhUOVFYWm1vQlJSU2VFVEY2Q2lPNEVON3FlODlPRjVmVXc0YUFRSU5wd0ppVy1BWmU3NXE1NEF1ekxrZ9IBoAFBVV95cUxQcllQWFREQzFqWXdvdmpsQWRweW8teTRieU95d0pIMlFWdUZJUVNjNUdCR3JKN1Nqd3JDeEtDeXROMGVOSEdBWm9jRTFLTm9ySVZUNXphLWU4YmFXSW9iemdGeFdZVXh6X1U3aEkzVUc0eVI1MF9KekRRRFRoTmJQUmMwbUszeUZaS3dqb3pRRWxWeGZoc2F5a0M5WkRRc0R4?oc=5,Voice of America,2025-02-15
Thousands mark Statehood Day of Serbia with anticorruption protest - Al Jazeera English,https://news.google.com/rss/articles/CBMirwFBVV95cUxOVnU4dVpPdVh3TnhCRU9GQ0JKZjlMLVlDNkQ5Q2RjMVlMM2Rrd0g4cXlwZHp5Tms0a2tJazRDUFJFajIxYTU0clBlMTFpSGdSTHRuQkFjVjV6RGpuejVhcExxYmhrRkRzd0FXekc5bVc5X3VheDRTMWdPQUR3MkxVeFQyVmFTT2Foemt0NkRVbkhubmZtSkNPcGJaR19Xd0k0NllVV1MxdURYQy1oQ3JF0gG0AUFVX3lxTE9PXzcwOEtUd05tdExOVXl6TjR4OWJTLWZDVWhndzVWX1pyN3JjbHZRdDBKY2FFMTU5X0dGZEc4UHNROE5aU2QxMVplNDBkVTkwdTlYRkE2dm0wanZicHh5c0hxT05QYnZiV201eGNsYTlMNk1qT0lndm1rTEdtTHFBM040SzU2ajFwTmVuN2J1VFFhRGVNRDkxdnlkTWZXV1p4dUtxb2xjMWxnYWt5UmdjSnI1RQ?oc=5,Al Jazeera English,2025-02-16
Protesters block bridges in Serbia's Novi Sad over November train disaster - Reuters,https://news.google.com/rss/articles/CBMiuwFBVV95cUxQa2Y2SEhIa3QycDRFS1ZPMEdKTFRrZkVCUDhYWXQtaWhIZzJFcTFCNjhod29hbjBqdFFVaE9KbXFFX2l6dTQzclZCdVBrTHJvdXBRRFVJNkUtUEtiNE5INjR6S3B0X1RhbTJ6cmxzRFhNNS1SdGl1ZlhoQ0tHTkI3TlV1dmpFNGl5VXZVWDdnbmp3WU9rZktnWkE0Nm9uTkE4VU5tYmdTTlM2Y3dPbEZnX1pPU1pYVjUtSVlF?oc=5,Reuters,2025-02-01
Serbia's students lead tens of thousands calling for change - Voice of America,https://news.google.com/rss/articles/CBMilAFBVV95cUxQb3U1OWJ6UnRKQnpmT3lrN01mWjFrNFdtTjZ6Q29QNnFXdEFMc1dBODJVLXRmUWh0bDN2Q0d0c20yamJWSVd1bzhBaXlqX3hFc0wzakNaTjgwNkR1elI1NEhZWHpXSG9uR3dYdGFPdmVaYTlra0Z5dUZvNmdfaE41NmppczRtdl9rZy1xS1VZYzhsdldo0gGXAUFVX3lxTE05N1VyWXBaRjF3djdSZFNBQnhfV0FEYm1HRkNPZjVOMlNQZnJINF8tbC1OS0V2S0dyM3JwRzFqNEN6UzdGa1BYMnpHZ25YcmxPRnM5dlk2Ul84bmtMZ1VPQTZDaFdvaDFpMzR4WGNtYWxfbHVCSkxtcFMxR0NsWUpGNjFJYnVzVlMzWnpZZjU3NWVxZC1wZDQ?oc=5,Voice of America,2025-02-01
Serbia protesters mark three-months since roof collapse with mass rally - FRANCE 24 English,https://news.google.com/rss/articles/CBMiugFBVV95cUxPaHVnWnRqMUpHRC11T2U2YU9iMkhGMkYzQ2dtTTNDOF9pY0UzX2NUSWdRTmVFZEFBSXQ1VVpUTEpONzdILU1UdjNSd3ZtN2ZaTWRCT1B5bTVNQlNXRWtKekNYNVZnUW1JWnBSdUQ2c2F2OE1Ma3dGSGNNODJLN0F4NEpQOWNIQl9hT29lOTJyM0xKd2ZfclpLQUk5RlJqbUxSb2RBLTNzeUw5SzVnWUhOanc2cE02ZXN2X0E?oc=5,FRANCE 24 English,2025-02-01
‘We’ve proved that change is possible’ – but Serbia protesters unsure of next move - The Guardian,https://news.google.com/rss/articles/CBMijgFBVV95cUxNUUhsR25oTUxJRGc4ODNuQnJVeWtLVkhsOEhuaXNVUUthNmZkWWtKMjUtbmtKeGFpY0Qwd2ZEazgwZXRBay0zalpSaXBCdUdzXy1PSVRmaE41X0hQeWNmRk9iajlwMTJfR2NmUUFtcHVQVHdJQy0yTlowTy14Snp5YlBTbFYwSVdmOHJiWktn?oc=5,The Guardian,2025-02-03
Thousands protest in Serbia to mark three months since deadly roof collapse - Al Jazeera English,https://news.google.com/rss/articles/CBMitgFBVV95cUxPWVdmb3pOUllyM2JwbkVtT05sNmpwQnMtNXlMRGxSbm9GODU5el9uWkZXZVNhTlYtRTRCYndZNElRbGI5MUtoVDZOSzJIU3F4RVoxdld2Rm1jWDNqdjdfMVYtem4tWGh3SkN5NkFnV1k5SDIwZ3JTVi1waFNuRWRpQTVOSVI0TVllNTRYWmswVXpJcFNWdnJLMnI5eVBCc1I1MTdDQ2FLSTNqX3JiUnBJQ1dMcW83d9IBuwFBVV95cUxOcXdNNWx5ODMzRmd2NzlrcUltQldDdk5ZNjlYa0RJclBIR0twQnBLSlg5eV9pTjRCc2pYdWhONk1GX0JtZ19Zd3dBQ1BhQ2hSMzRrZmNHQkRsbm5fLW8xZU1NVk1iNmxhODhqOUtWT0NnRGpsRFBmVnppWm4wMG04cGQzbDM2NGZWLVV0bWQ1Y0JqaVIxSm5rejJnZVlfaGQ0aE9oMnFybzNITEI5dHh3cjdDUXNTUThwUFFz?oc=5,Al Jazeera English,2025-02-01
Kosovo's ruling party set to come first in election - Reuters,https://news.google.com/rss/articles/CBMipAFBVV95cUxNaEM1Y0ZqTFdMRnhqTlAzNUhIN1A1d1EyU1FucTVKYTktS3dwakxuaDNsV29ER3B3T21hRC1QSDNfU0JPUDlCanJ2aDl5VldKTDBLeVNqeEtRMVdaZTVIN3g3dWEyXzBYWTBHendFc1hxcWdzR2luaUs5TU91bUlqNW84NzAtak5CRXF6Ry1mVVR6WUhqSXZxU2tNUmtPdkcyRFVVMg?oc=5,Reuters,2025-02-09
Tens of thousands rally against Serbian government in student-led protests – video report - The Guardian,https://news.google.com/rss/articles/CBMiugFBVV95cUxPb0xuNFVKWXJLT3ZMNHhqTm9JSjZTa18zcGhLQV9CZmQ0LVEtN19wSkxVeW1kRERlVmo2ZEVxcnRwaTdPNkctMXQwcWh3Z1VfaU0wRkxvV3k3bTdjVXM0TVBPS3huc19HTG8xeXIwbURlaDlJR0Vsd3pGUTUwdnBTZkZLZFc5ZWVDQ2FjQTVLdVJjT2JvV0QwVUxwQy04c2hzeng3OHp1SEZaSXg5Vy1VSEtEb1lnUzlHcVE?oc=5,The Guardian,2025-02-03
