title,url,source_name,date_found
A double bind: How unrest and geopolitics could end Serbia’s government - European Council on Foreign Relations,https://ecfr.eu/article/a-double-bind-how-unrest-and-geopolitics-could-end-serbias-government/,European Council on Foreign Relations,2025-02-06
"Protests over train station collapse grip Serbia, demand government action - Al Jazeera English",https://www.aljazeera.com/news/2025/2/15/thousands-protest-in-serbia-as-anger-over-corruption-swells,Al Jazeera English,2025-02-15
Thousands rally in Serbia as anger over corruption swells - Reuters,https://www.reuters.com/world/europe/thousands-rally-serbia-over-deadly-railway-disaster-2025-02-15/,Reuters,2025-02-16
Serbian Students to Government: “You Have Blood on Your Hands” - Foreign Policy In Focus,https://fpif.org/serbian-students-to-government-you-have-blood-on-your-hands/,Foreign Policy In Focus,2025-02-05
Serbia’s Mass Protests Against a Crony-Capitalist Government - Jacobin magazine,https://jacobin.com/2025/02/serbia-protests-novi-sad-railway,Jacobin magazine,2025-02-01
Are Serbian Protests Starting To Loosen Vucic's Grip On Power? - Radio Free Europe / Radio Liberty,https://www.rferl.org/a/serbian-protests-president-vucic-government/33304413.html,Radio Free Europe / Radio Liberty,2025-02-06
Major anti-corruption protests in Serbia add to pressure on President Vučić - The Guardian,https://www.theguardian.com/world/2025/feb/01/student-led-protests-in-serbia-mark-railway-station-deaths-blamed-on-graft,The Guardian,2025-02-02
Thousands mark Serbian Statehood Day with mass protest against corruption - FRANCE 24 English,https://www.france24.com/en/live-news/20250215-thousands-mark-serbian-statehood-day-with-anti-corruption-protest,FRANCE 24 English,2025-02-15
"Serbia's striking students, president hold parallel rallies - Voice of America",https://www.voanews.com/a/serbia-s-striking-students-president-hold-parallel-rallies/7976209.html,Voice of America,2025-02-15
Thousands mark Statehood Day of Serbia with anticorruption protest - Al Jazeera English,https://www.aljazeera.com/gallery/2025/2/16/thousands-mark-statehood-day-of-serbia-with-anticorruption-protest,Al Jazeera English,2025-02-16
Protesters block bridges in Serbia's Novi Sad over November train disaster - Reuters,https://www.reuters.com/world/europe/protesters-block-bridges-serbias-novi-sad-over-november-train-disaster-2025-02-01/,Reuters,2025-02-01
Serbia's students lead tens of thousands calling for change - Voice of America,https://www.voanews.com/a/anti-graft-protesters-march-block-bridges-in-serbia/7959835.html,Voice of America,2025-02-01
Serbia protesters mark three-months since roof collapse with mass rally - FRANCE 24 English,https://www.france24.com/en/live-news/20250201-serbia-protesters-mark-three-months-since-roof-collapse-with-mass-rally,FRANCE 24 English,2025-02-01
‘We’ve proved that change is possible’ – but Serbia protesters unsure of next move - The Guardian,https://www.theguardian.com/world/2025/feb/03/serbia-student-led-protesters-next-move,The Guardian,2025-02-03
Thousands protest in Serbia to mark three months since deadly roof collapse - Al Jazeera English,https://www.aljazeera.com/news/2025/2/1/thousands-protests-in-serbia-to-mark-three-months-since-fatal-roof-collapse,Al Jazeera English,2025-02-01
Kosovo's ruling party set to come first in election - Reuters,https://www.reuters.com/world/europe/kosovo-heads-election-clouded-by-tensions-with-serbia-2025-02-09/,Reuters,2025-02-09
Tens of thousands rally against Serbian government in student-led protests – video report - The Guardian,https://www.theguardian.com/world/video/2025/feb/02/rally-against-serbian-government-student-led-protests-video-report,The Guardian,2025-02-03
Kosovo prime minister looking for allies for new Cabinet after failing to win parliament majority - Voice of America,https://www.voanews.com/a/kosovo-prime-minister-looking-for-allies-for-a-new-cabinet-after-failing-to-win-parliament-majority-/7969195.html,Voice of America,2025-02-10
