title,url,source_name,date_found,text
A driver rams an anti-government rally in Serbia's capital and injures one protester - Lufkin Daily News,https://lufkindailynews.com/anpa/international/university-students-lead-a-strike-in-serbia-as-populist-president-plans-a-rally-to-counter/article_643bc0b0-4add-5c71-9646-8bfab005164d.html,Lufkin Daily News,2025-01-24,"A driver rams an anti-government rally in Serbia's capital and injures one protester
A woman has rammed a car into a crowd of anti-government protesters in Serbia’s capital and injured one of them as a student-led strike shut down businesses and drew thousands of people to demonstrations around the country
BELGRADE, Serbia (AP) — A woman rammed a car into a crowd of anti-government protesters in Serbia's capital and injured one of them Friday, police said, as a student-led strike shut down businesses and drew tens of thousands of people to demonstrations around the country.

The nationwide protests took place on the same day that President Aleksandar Vucic held a big afternoon rally with thousands of supporters in the central town of Jagodina, his coalition stronghold, to counter the persistent anti-government protests that have challenged his tight grip on power for nearly three months."
A driver rams an anti-government rally in Serbia’s capital and injures one protester - The Associated Press,https://apnews.com/article/serbia-protests-vucic-belgrade-strike-jagodina-91718d6702f44488fe52a7231ddcaa88,The Associated Press,2025-01-24,"BELGRADE, Serbia (AP) — A woman rammed a car into a crowd of anti-government protesters in Serbia’s capital and injured one of them Friday, police said, as a student-led strike shut down businesses and drew tens of thousands of people to demonstrations around the country.

The nationwide protests took place on the same day that President Aleksandar Vucic held a big afternoon rally with thousands of supporters in the central town of Jagodina, his coalition stronghold, to counter the persistent anti-government protests that have challenged his tight grip on power for nearly three months.

Vucic told his supporters that the country has been “attacked both from outside and inside” by the anti-government protests.

“It is not accidental that that they have attacked Serbia from abroad,” Vucic said, pointing out Serbia’s friendly relations with Russia and China, and a refusal to impose sanctions on Moscow because of the war in Ukraine.

“That is what they want to crush, but we must not allow it. That is our strength,” he told the cheering crowd.

Vucic also called for a dialogue with the striking students who have received widespread support from all walks of life in Serbia, at the same time weakening popular support for his party. The students have rejected negotiations on their demands with Vucic.

The protesters have blocked traffic daily in Serbia to protest the deaths of 15 people killed in the November collapse of a train station canopy that critics have blamed on government corruption.

Police in Belgrade said that they detained the 24-year-old driver who rammed into a crowd of protesters in a section of the city called New Belgrade. The injured victim, a 26-year-old woman was hospitalized; her condition was described as stable.

A similar incident took place during a blockade last week in Belgrade, when a car rammed into protesting students, seriously injuring a young woman.

Many in Serbia believe the huge concrete canopy at a train station in the northern city of Novi Sad fell down because of sloppy reconstruction work that resulted from corruption.

Weekslong protests demanding accountability over the crash have been the biggest since Vucic came to power more than a decade ago. He has faced accusations of curbing democratic freedoms despite formally seeking European Union membership for Serbia.

It wasn’t immediately possible to determine how many people and companies joined the students’ call for a one-day general strike on Friday. They included restaurants, bars, theaters, bakeries, various shops and bookstores.

“Let’s take freedom in our hands,” students told the citizens in their strike call.

At his rally in Jagodina, Vucic announced the formation in March of a nationwide political movement in the style of Russian President Vladimir Putin’s United Russia movement to help ensure the dominance of his right-wing Serbian Progressive Party.

“You are all welcome to the movement of big change and future,” Vucic said. He said that the movement will include people who aren’t members of any political party.

“We need new energy,” Vucic said.

The president and the country’s mainstream media have accused the students of working under orders from foreign intelligence services to overthrow the authorities while pro-government thugs have repeatedly attacked protesting citizens.

The 15-minute traffic blockades on Friday started at 11:52 a.m., the exact time of the canopy collapse in Novi Sad.

Serbian universities have been blockaded for two months, along with many schools. A lawyers’ association also has gone on strike, but it remained unclear how many people stayed away from work in the state-run institutions on Friday.

Protests marches were held Friday in Belgrade, Novi Sad, the southern city of Nis and other smaller cities — even in Jagodina before Vucic’s arrival.

“Things can’t stay the same anymore,” actor Goran Susljik told N1 regional television. “Students have offered us the possibility of change.”

Serbia’s prosecutors have filed charges against 13 people for the canopy collapse, including a government minister and several state officials. But the former construction minister Goran Vesic has been released from detention, fueling doubts over the investigation’s independence.

The main railway station in Novi Sad was renovated twice in recent years as part of a wider infrastructure deal with Chinese state companies.

___

Dusan Stojanovic contributed to this report."
Analysis: Serbian PM Milos Vucevic's Resignation May Not Stop Protests - Radio Free Europe / Radio Liberty,https://www.rferl.org/a/serbia-novisad-vucevic--vucic-protests/33291903.html,Radio Free Europe / Radio Liberty,2025-01-28,"The resignation of Serbian Prime Minister Milos Vucevic may not be enough to end student protests that have rocked the Balkan country since a disaster at a railway station killed 15 people in November.

This is despite the fact that Vucevic's resignation was among the protesters' initial demands. Their position has developed over months of protests that began when a concrete canopy collapsed at a station in the northern city of Novi Sad.

At first, the protesters called for both Vucevic and the mayor of Novi Sad, Milan Djuric, to go. Djuric also resigned from his position on January 28.

The resignations come following remarks by President Aleksandar Vucic on January 27, saying that all the students' demands will be met. Vucic appeared to be trying to defuse a situation where protests were growing nationwide.

Overnight, protesters were supported by farmers using tractors to mount a blockade of the main roads through the capital, Belgrade. Anger about the deaths has grown into wider grievances.

The protesters have said they're not interested in politics and do not see resignations as the core issue. Instead, they say they want Serbian institutions to work as they should.

""We would love to live in a country where every institution simply does its job independently, without corruption or external pressure,"" university student Jana Lomic told RFE/RL at one of the overnight blockades.

Many students camped out in tents.

They have the support of Serbia's opposition parties. It was announced this week that the government would submit to a confidence vote in parliament on January 29. The opposition said this was an old demand and that they supported the students' positions.

There are four major demands: The release of all documents covering the reconstruction of the station in Novi Sad amid concerns over corruption, dropping charges against students arrested during the initial protests, indictments against people who assaulted protesting students, and a 20 percent increase in government funding for state-run universities.

The government approved the 20 percent rise in its 2025 budget in December.

Vucic said all documents relating to the reconstruction of the railway station had been made public. But he has claimed this before and it is disputed by some protesters.

""We are always open to some form of negotiation and cooperation, but we don't want anyone to play games with us, and it is clear that this has been happening for two months,"" said Nikola Mutavdzic, a student at the Faculty of Law, who participated in the 24-hour traffic blockade in Belgrade on January 27.

Vucic also said charges against protesters would be dropped and that 37 individuals faced criminal proceedings for attacks on students. It's unclear whether all charges will be dropped, and if all alleged assaulters will be charged.

The student movement has no clear leaders. They take their decisions in votes.

It's also not clear what, if anything, will happen in parliament on January 29. A confidence vote when the prime minister has already resigned feels like an irrelevance that is also unlikely to calm public anger.

""With the resignation of the prime minister, the entire cabinet falls, so practically speaking, the entire government is resigning,"" Vucevic said on January 28.

The government is due to meet on the evening of January 28. Under the Serbian Constitution, it will remain in office for up to 30 days until a new government is approved by parliament.

If this does not happen, Vucic must call new parliamentary elections. Opposition parties have called for an interim government to be formed, something that is opposed by Vucic's ruling Serbian Progressive Party."
"Analysis: Vučić is still protected by the EU and the US, but his government is wavering - Vijesti.me",https://en.vijesti.me/amp/743391/The-analyses-of-the-wolf-are-still-guarding-the-EU-now%2C-but-his-power-is-wavering.,Vijesti.me,2025-01-31,"Media and political analysts in the EU agree that Vučić's government has been shaken, and state that this is also demonstrated by the resignation of Prime Minister Miloš Vučević, who had to admit that the violence against students was carried out by ""thugs"" from the ruling Serbian Progressive Party (SNS).

The European Union and the United States are not yet challenging the shaky rule of Serbian President Aleksandar Vučić, but the question is already being raised whether the end of his rule is in sight, according to analysts and media in the EU.

Media and political analysts in the EU agree that Vučić's government has been shaken, and state that this is also demonstrated by the resignation of Prime Minister Miloš Vučević, who had to admit that the violence against students was carried out by ""thugs"" from the ruling Serbian Progressive Party (SNS).

They also state that by forming a new government or calling elections, Vučić will ""only try to make changes so that everything remains the same because he holds all the strings of power.""

An analyst at the European Council on Foreign Relations think tank, Enđelusa Morina, believes that demonstrations by students and broader sections of citizens in Serbia indicate that this could be the beginning of the end of Aleksandar Vučić's government, but adds that this process will take a long time.

Morina states that fundamental changes are necessary as there is great dissatisfaction among citizens due to violations of the law, suppression of government institutions and media freedom, as well as general corruption in government circles.

She points out that Vučić's government has been shaken ""because his moves show that he does not know how to address people in a way that makes proposals, but rather constantly sends messages to his supporters from the SNS, and not to broad sections of citizens dissatisfied with the suppression of laws and general corruption in government.""

The German Zidow Zeitung writes in a commentary that Vučić is not yet on the verge of collapse because he has a party apparatus that manages all companies and institutions, ""where jobs are distributed for votes for Vučić's camp.""

""Vučić is not under the protection of Brussels and Berlin only because of the lithium mining project, but also because he enables the Serbian military industry to produce weapons for Ukraine,"" the Süddeutsche Zeitung points out.

The newspaper also states that ""the apparatus of numerous regime television stations and tabloids is largely preventing the emergence of political alternatives.""

The German public service MDR points out that the student protest in Serbia originated exclusively on domestic soil, without logistical or financial assistance from the West, which supported democratic movements against dictatorship in the so-called ""color revolutions"" in other former communist countries.

""Moreover, the protest took place despite the position of the European Union and the USA, and even Germany, which have de facto supported the Serbian autocrat Vučić and his system of government for a decade, thereby contributing to the suppression of Serbian democracy,"" MDR states.

The French newspaper Lezeko writes that the Serbian government has been ""shaken by weeks of protests over incompetence and corruption in the country"" and adds that Prime Minister Miloš Vučević, ""a key ally of President Aleksandar Vučić, who has held Serbia with an iron fist for 11 years,"" had to resign.

The German Friedrich Naumann Foundation points out that the European Union has so far ""tolerated Aleksandar Vučić because he promised it stability and raw materials such as lithium"" and adds that people in Serbia are ""fully aware of this.""

""Towards candidates for membership, and Serbia still is, the EU could deal with violations of the rule of law in the same way it deals with violations within the Union, including financial sanctions. The absence of any criticism (from the EU), even during massive electoral fraud, has repeatedly left Serbian civil society in the lurch,"" the Friedrich Naumann Foundation states.

( Beta )"
Clock ticks as Serbia's ruling party must agree new PM or trigger election - Gulf Digital News,https://www.gdnonline.com/Details/1343324/Clock-ticks-as-Serbias-ruling-party-must-agree-new-PM-or-trigger-election,Gulf Digital News,2025-01-29,"BELGRADE - Serbia's ruling coalition began talks to form a new government on Wednesday, after Prime Minister Milos Vucevic resigned amid protests and President Aleksandar Vucic floated the possibility of a snap election in April.

Vucevic on Tuesday became the highest-ranking official to step down in the aftermath of a roof collapse at a railway station in the city of Novi Sad in November that killed 15 people and triggered months of demonstrations over alleged poor government oversight.

President Vucic has 30 days to propose a new prime minister designate, or an election will be triggered. On Tuesday he said he would make a decision in around 10 days.

The protests have shaken Vucic, a populist, who held a grip on power since he became prime minister in 2014 and president in 2017.

But the Novi Sad incident has reignited claims that Vucic and his Serbian Progressive Party (SNS) are corrupt, bribe voters, stifle media freedom and maintain ties with organised crime - all charges he and the SNS deny.

It is not clear how he will fare if a snap election is called. In December, the IPSOS Strategic Marketing pollster said the SNS enjoyed the support of 48.3% of the electorate, although popular sentiment against the government has surged since then.

A decision by SNS to appoint an expert government would be its ""best hope of de-escalating the crisis"", said Andrius Tursa, the Central and Eastern Europe Advisor for the Teneo consultancy, in a report on Tuesday.

""For now, the president appears reluctant to go down this path, which would amount to a major political loss and reduce his leverage over the government.""

Opposition parties dismissed the possibility of an early vote and said that an interim government without the SNS would be the best solution.

The protests that triggered the political crisis began in Novi Sad in November but have grown and spread to most of Serbia and the capital Belgrade, where students who are leading the demonstrations blockaded a major intersection this week.

The streets of Belgrade were calm on Wednesday. But the students say they will continue to rally until their demands - which include all those they blame for the station disaster being held criminally responsible and an end to prosecutions of students arrested during the protests - are met.

They say Vucevic's decision can be seen as a proof of popular pressure.

""This only demonstrates social influence that ... protests and blockades could have,"" said Tijana Knezevic, a student activist."
Clock ticks as Serbia's ruling party must agree new PM or trigger election - Yahoo News UK,https://uk.news.yahoo.com/clock-ticks-serbias-ruling-party-131150118.html,Yahoo News UK,2025-01-29,"Protestors block the road to pay respects to victims of fatal roof collapse in November 2024 at Novi Sad's railway station, in Belgrade

Protestors block the road to pay respects to victims of fatal roof collapse in November 2024 at Novi Sad's railway station, in Belgrade

By Aleksandar Vasovic

BELGRADE (Reuters) -Serbia's ruling coalition began talks to form a new government on Wednesday, after Prime Minister Milos Vucevic resigned amid protests and President Aleksandar Vucic floated the possibility of a snap election in April.

Vucevic on Tuesday became the highest-ranking official to step down in the aftermath of a roof collapse at a railway station in the city of Novi Sad in November that killed 15 people and triggered months of demonstrations over alleged poor government oversight.

President Vucic has 30 days to propose a new prime minister designate, or an election will be triggered. On Tuesday he said he would make a decision in around 10 days.

ADVERTISEMENT

The protests have shaken Vucic, a populist, who has held a grip on power since he became prime minister in 2014 and president in 2017.

But the Novi Sad incident has reignited claims that Vucic and his Serbian Progressive Party (SNS) are corrupt, bribe voters, stifle media freedom and maintain ties with organised crime - all charges he and the SNS deny.

The protests began in Novi Sad in November but have spread to rest of Serbia and the capital Belgrade, where students who are leading the demonstrations blockaded a major intersection this week.

HUNDREDS PROTEST

Hundreds took to the streets again on Wednesday, carrying banners that read ""Dare and Rise"" and ""Support to Students"".

They vowed to continue protesting until their demands - which include all those they blame for the station disaster being held criminally responsible and an end to prosecutions of students arrested during the protests - were met.

ADVERTISEMENT

Later on Wednesday, Vucic's office said he has pardoned six students, a faculty dean, a university lecturer, headteachers of six schools and a janitor. All were prosecuted for their role in the protests.

""We are very satisfied with the successes we have achieved... but we are not asking for the resignations of officials, but rather for the fulfilment of the demands - that this state truly becomes a state of law instead of being a police state,"" said law student protester Igor Protic.

It is unclear how Vucic would fare if a snap election were called. In December, the IPSOS Strategic Marketing pollster said the SNS enjoyed the support of 48.3% of the electorate, although popular sentiment against the government has surged since then.

A decision by SNS to appoint an expert government would be its ""best hope of de-escalating the crisis"", said Andrius Tursa, the Central and Eastern Europe Advisor for the Teneo consultancy, in a report on Tuesday.

""For now, the president appears reluctant to go down this path, which would amount to a major political loss and reduce his leverage over the government.""

ADVERTISEMENT

Opposition parties dismissed the possibility of an early vote and said that an interim government without the SNS would be the best solution.

(Reporting by Aleksandar Vasovic; Editing by Edward McAllister and Alex Richardson)"
Driver rams anti-government protesters in Serbia - Sky News,https://news.sky.com/video/driver-rams-anti-government-protesters-in-serbia-13296737,Sky News,2025-01-25,"Driver rams anti-government protesters in Serbia

The incident happened during a student-led strike, which drew thousands on to the streets across Serbia."
Driver rams anti-government rally in Serbia’s capital and injures one protester - MSN,https://www.msn.com/en-us/news/world/driver-rams-anti-government-rally-in-serbia-s-capital-and-injures-one-protester/ar-AA1xO6Ah,MSN,2025-01-25,"A woman rammed a car into a crowd of anti-government protesters in Serbia’s capital and injured one of them, police said.

It happened on Friday during a student-led strike which shut down businesses and drew tens of thousands of people to demonstrations around the country.

The nationwide protests took place on the same day that President Aleksandar Vucic planned a big afternoon rally in a central town to counter the persistent anti-government protests that have challenged his tight grip on power.
Protesters have blocked traffic daily in Serbia to protest the deaths of 15 people killed in the November collapse of a train station canopy that critics have blamed on government corruption.

Police in Belgrade said they detained the 24-year-old driver who rammed into a crowd of protesters in a section the city called New Belgrade.

The injured victim, a 26-year-old woman, was taken to an emergency hospital where her condition was not immediately known.

A similar ramming incident took place during a blockade last week in Belgrade, when a car rammed into protesting students, seriously injuring a young woman.

Many in Serbia believe the huge concrete canopy at a train station in the northern city of Novi Sad fell down because of sloppy reconstruction work that resulted from corruption.

Weeks-long protests demanding accountability over the crash have been the biggest since Mr Vucic came to power more than a decade ago.

He has faced accusations of curbing democratic freedoms despite formally seeking European Union membership for Serbia.

It was not immediately possible to determine how many people and companies joined the students’ call for a one-day general strike on Friday.
They included restaurants, bars, theatres, bakeries and various shops.

“Let’s take freedom in our hands,” students told the citizens in their strike call.

Mr Vucic planned to gather his supporters in the central town of Jagodina later on Friday.

He has announced plans to form a nationwide political movement in the style of Russia’s President Vladimir Putin’s United Russia movement to help ensure the dominance of his right-wing Serbian Progressive Party.
The president and the country’s mainstream media have accused the students of working under orders from foreign intelligence services to overthrow the authorities while pro-government thugs have repeatedly attacked protesting citizens.

The 15-minute traffic blockades on Friday started at 11.52am, the exact time of the canopy collapse in Novi Sad.

Serbian universities have been blockaded for two months, along with many schools.

A lawyers’ association has also gone on strike but it remained unclear how many people stayed away from work in the state-run institutions on Friday.

Protests marches were held Friday in Belgrade, Novi Sad, the southern city of Nis and other smaller cities — even in Jagodina, a ruling coalition stronghold, ahead of Mr Vucic’s arrival.

“Things can’t stay the same any more,” actor Goran Susljik told N1 regional television. “Students have offered us the possibility of change.”
Serbia’s prosecutors have filed charges against 13 people for the canopy collapse, including a government minister and several state officials.

But the former construction minister Goran Vesic has been released from detention, fuelling doubts over the probe’s independence.

The main railway station in Novi Sad was renovated twice in recent years as part of a wider infrastructure deal with Chinese state companies.
"
Encrypted Chats Expose Rival Factions Around Serbia’s Ruling Party - OCCRP,https://www.occrp.org/en/news/encrypted-chats-expose-rival-factions-around-serbias-ruling-party,OCCRP,2025-01-31,"A member of a Serbian organized crime group was striking deals with a businessman close to the country’s ruling party even as he allegedly coordinated international cocaine shipments, according to an investigation by KRIK.

Information about convicted drug trafficker Miloš Pandrc, and his connections to Serbia’s economic and political elite, is included in a police report from an investigation into Balkan organized crime that was obtained by journalists.

KRIK, which is an OCCRP member center in Serbia, also obtained text messages between Pandrc and his contacts. The communications were sent over Sky ECC, an encrypted messaging app sold to criminals around the world.

The police report and encrypted messages expose rifts between rival groups of businessmen and criminals in Novi Sad, Serbia’s second largest city. The factions appear to have been competing for the largesse of the Serbian Progressive Party (SNS).

The messages include conversations in 2020 between Pandrc and Dragoljub Zbiljić, a businessman close to the SNS. In their exchanges, Zbiljić shared screenshots of text messages between himself and Miloš Vučević, who was then mayor of Novi Sad.

Vučević became Serbia’s prime minister in 2024. He resigned on Tuesday following months of anti-government protests sparked by the deadly collapse of a section of the Novi Sad railway station.

Back in 2020, Vučević was regularly sharing updates with Zbiljić about internal SNS developments. Zbiljić forwarded some of these messages to Pandrc.

The police report and encrypted messages reveal details of Zbiljić’s acquisition of Elektromontaža, a company that handles lucrative state energy projects. Pandrc allegedly benefitted from the deal too.

“Pandrc says he arranged an €800,000 ($946,000) deal with Elektromontaža,” the police report states, adding that “he plans to increase it to €100 million ($118 million) annually starting next year.”

Journalists were unable to confirm whether Pandrc did indeed receive any of those funds. Pandrc did not answer his phone, and attempts to reach him via calls to his family and his company were unsuccessful.

Neither Vučević nor the Serbian government responded to requests for comment.

Zbiljić declined to answer questions, but suggested in an email that KRIK journalists “consult a serious psychiatrist.”

While Pandrc was chatting with Zbiljić and others in 2020, he was also messaging cocaine traffickers over the encrypted Sky ECC app.

""It is evident that Pandrc Miloš has an interest in the international trade of narcotics,” police alleged in their report, which cites his communications to several other Sky ECC users.

Pandrc was communicating with them “in order to facilitate an agreement related to the transportation of a large quantity of the narcotic drug cocaine from Brazil to Germany,"" police alleged."
EU criticized for staying silent on momentous protests in Serbia - European Western Balkans,https://europeanwesternbalkans.com/2025/01/29/eu-criticized-for-staying-silent-on-momentous-protests-in-serbia/,European Western Balkans,2025-01-29,"Since the protests in Serbia began following the tragic collapse of the Novi Sad railway station in November, very few reactions have been heard from the EU. The protests, meanwhile, have evolved into a large student-led movement which ultimately caused the fall of the government, following yesterday’s resignation of Prime Minister Miloš Vučević.

Protesters demand the release of full documentation on the reconstruction of the railway station, whose collapse killed 15 people. Numerous shortcomings in the work of the institutions have already come to light regarding the project, and suspicions of potential corruption persist in the public. Another demand is the prosecution of persons who physically assaulted the students during the protests, some of whom were identified as members of the ruling party.

For weeks, tens of thousands of citizens have been protesting across the country in support of the students. The protests further escalated in the second half of January after several incidents in which protesting students were injured. Commentators are describing the protests as a decisive moment for the future of the rule of law and democracy in Serbia.

So far, however, there have been very few reactions from the EU institutions or member governments. They mostly came from several groups in the European Parliament – Socialists and Democrats, Greens and “Renew Europe”, which supported the students. European Commission Spokesman for Enlargement has also criticized the attacks on the students.

No reactions came from the higher levels of the Commission or the Council of the European Union. In his last week’s visit to Serbia, Gert Jan Koopman, head of the Directorate-General for Neighourhood and Enlargement in the European Commission, made no public reference to the protests.

Pro-government daily Politika subsequently published what it reported to be a leaked message of Koopman from the meeting with opposition and civil society, in which he allegedly said that the EU “will not accept or support a violent change of power in Serbia.” Upon subsequent request, the EU institutions did not provide a detailed clarification of the statement for our portal.

Meanwhile, officials of the United States, Russia and China have recently made statements critical of the protests and supportive of the government. Richard Grenell, well-known in the Balkans from his previous stint in the Trump administration, criticized the supposed violence of the protests during the weekend, even though the protests have been overwhelmingly peaceful.

Calls for the EU to get more involved

On 28 January, a group of Serbian public figures, including writers, actors and activists, sent a letter to the EU officials, including Commission President Ursula von der Leyen and Commissioner for Enlargement Marta Kos, urging them to take a more active role in support of the “free, democratic and European Serbia”.

“The rule of this regime all these years would not have been possible without, unfortunately, a very ambivalent and inconsistent policy of the European Union towards Serbia, which in recent years often reduced to the open support of the government of Aleksandar Vučić”, the letter states.

In a text published last week on the BiEPAG blog, titled “Student protests in Serbia: The eleventh hour for EU fundamentals”, author Marko Kmezić wrote that the EU continues to fail “to recognize the country’s regime for what it actually is – an autocratic and corrupt political system unfit to meet EU conditions with regard to respect and promotion of democracy, rule of law and human rights”.

“It is the eleventh hour for the EU to step up and fulfil its self-proclaimed task of democracy and rule of law promoter. It must clearly and univocally support the student protests in Serbia and stop having stabilitocratic consideration for the country’s authoritarian regime”, Kmezić, s a Lecturer and Senior Researcher at the Centre for Southeast European Studies at the University of Graz, wrote.

Issues with Novi Sad railway reconstruction recognized in the EU’s own reports

Novi Sad tragedy has renewed interest in the longstanding issues with construction projects in the country. In its annual Report on Serbia, published on 30 October 2024, just two days before the collapse of the station, the European Commission stated that the country “has a tendency to circumvent its legislation” in the area of public procurement “through intergovernmental agreements and special laws”.

This was exactly how the Novi Sad railway station was reconstructed. There was no open competition – the project was awarded to a consortium of Chinese companies, which hired local subcontractors, based on the Serbia-China international agreement. The price of the reconstruction of the station has been described as potentially inflated by several experts.

The protesters have been demanding the release of all documentation related to the Novi Sad railway reconstruction so that all technical shortcomi"
