title,url,source_name,date_found,text
A double bind: How unrest and geopolitics could end Serbia’s government - European Council on Foreign Relations,https://ecfr.eu/article/a-double-bind-how-unrest-and-geopolitics-could-end-serbias-government/,European Council on Foreign Relations,2025-02-06,"This winter has seen Serbian president Aleksandar Vucic skating on dangerously thin ice. Mass student-led anticorruption protests have led to the resignation of the prime minister, Milos Vucevic, as well as several other members of his government. Last week, the president hinted that the turmoil could lead to a snap parliamentary election come spring.

But public anger and Vucic’s collapsing government are far from his only problems. Even before the protests, the president’s longstanding “à la carte” approach to foreign policy of hedging Serbia between the West and Russia (with a side order of China) seemed to be in trouble. Both the European Union and Russia have been pressing Belgrade to choose a side. Now, Vucic has found himself with very little international sympathy for his domestic woes—and very little room for manoeuvre.

This gives Europeans a key opportunity to help steer events towards stability and democratic progress while minimising the risk of regional spillover. To prevent prolonged instability and bring Serbia back on track, the EU should support civil society, address regional tensions, and reinforce Serbia’s European trajectory.

Some things aren’t new in Belgrade

The mass student-led protests began last November after the roof of the Novi Sad railway station collapsed, killing 15 people and severely injuring 2 others, with many Serbians holding government corruption responsible. Protestors grievances have since compounded, citing the mismanagement of public funds and poor governance, on top of existing dissatisfaction with a lack of media freedom, dysfunctional rule of law and a deliberate lack of electoral reform, not to mention Vucic’s ties to corruption and organised crime. Now, they are demanding a systematic change in how the country is governed and who governs it.

In many ways, this is nothing new. Serbians frequently protest against widespread corruption, election fraud, and the illiberal role of Vucic, with wide-scale anti-government demonstrations in 2017, 2018, 2020, and 2023. Until recently, however, Vucic has been able to keep a lid on political opposition by labelling them as foreign agents and using arrests, police force, and intimidation.

This time, however, the tide is turning. Vucic has repeatedly dismissed the protestors and their complaints (and has even leaped to the defence of a driver who rammed into a crowd of protestors and caused severe injuries). But he has not been able to quell Serbians’ anger. The current wave of protests have gathered traction among broad sections of society—they have the support of around two-thirds of the population and are the largest since 2000, when mass protests helped oust then-president Slobodan Milosevic.

Trouble inside and out

Such a clear display of domestic unpopularity for Vucic has affected his international partners’ willingness to stand behind him. On the one hand, Russia has publicly warned Serbia against descending into “chaos”. While Moscow is unlikely to support a leader halfway out the door, it will not give up on Serbia easily. Rather than support Vucic, it is likely Russia will attempt to mobilise the pro-Russia population in Serbia against him, or any other government that takes another step towards Europe. On the other hand, the EU has reaffirmed the need to protect citizens and protesters, but has largely stayed silent rather than rushing to Vucic’s aid in the name of stability as has been the case in the past.

Vucic has neither cultivated strong relations with the EU nor Russia, both of which questioned Serbia’s reliability as a partner long before the protests broke out

This risks compounding Vucic’s struggles to maintain his “à la carte” foreign policy. Throughout his tenure, he has positioned Serbia between the EU (for its economic and funding benefits) and Putin’s Russia (for undermining Kosovo’s independence, its gas and its fondness of illiberal rule), while snacking on other economies such as China’s. In the short-term, Belgrade’s ability to avoid full alignment with any specific bloc allowed it to play its own game and make economic gains. It has continued to build relationships by signing commercial agreements with countries like Egypt, Israel, and South Korea. But in the long term, Vucic has neither cultivated strong relations with the EU nor Russia, both of which questioned Serbia’s reliability as a partner long before the protests broke out.

For Brussels, Serbia’s dealings with Moscow have been a cause for concern. Since Russia’s invasion of Ukraine in February 2022, Serbia has failed to join the EU in sanctioning Russia, and Vucic has recently offered himself as a connection for mediating between Ukraine and Russia, citing Serbia’s long friendship with Moscow. More recently, the president appointed two pro-Russian and US-sanctioned individuals as new members of his cabinet, even after the news on a Serbian agent for Russian influence within EU institutional bodies. In its latest report on acces"
"Protests over train station collapse grip Serbia, demand government action - Al Jazeera English",https://www.aljazeera.com/news/2025/2/15/thousands-protest-in-serbia-as-anger-over-corruption-swells,Al Jazeera English,2025-02-15,"Students march in Serbia, seeking justice for train station victims and accountability for corruption and nepotism.

Tens of thousands of students have descended on the town of Kragujevac in central Serbia, the latest in a series of protests to rock the Balkan country after the deadly collapse of a train station roof last year.

Fifteen people were killed on November 1 when a roof collapsed at a train station in the city of Novi Sad, fuelling longstanding anger over corruption and nepotism.

Since then, mass demonstrations have grown into Serbia’s largest protest movement in years and represent a threat to populist President Aleksandar Vucic’s decade-long grip on power.

In near-freezing temperatures, students arrived in Kragujevac from across Serbia by bus and even on foot, beating drums, blowing whistles, and holding up the country’s flag.

The protesters planned to block one of the city’s main boulevards for 15 hours and 15 minutes, in a tribute to the train station victims. They also held 15 minutes of silence.

“We are here to fight for a better tomorrow, against corruption,” said 20-year-old Jovan, who drove from the capital Belgrade.

Advertisement

Student protestors have enjoyed broad support from Serbia’s public, many of whom blame the Novi Sad tragedy on corruption and nepotism within Vucic’s government, allegations authorities deny.

Verica, a 52-year-old professor from the city, joined the protest with her teenage daughter.

“I have not been so happy and proud for a long time,” she said. “I am proud of their persistence.”

Students demand change

The university student-led movement has put increasing pressure on Serbia’s government, spurring the resignation of several high-ranking officials, including Prime Minister Milos Vucevic at the end of January.

Elsewhere, 13 people have been charged over the train station disaster. But this has done little to quell the demonstrations.

Since the accident, students have staged daily protests, taking over university buildings and blocking highways and squares.

“We will stay here until the blockade ends,” said Djordje Vujovic, 22, a mechanical engineering student.

The students are demanding that authorities publish documents relating to the station roof collapse. They also want justice for those responsible, the dismissal of charges against protesting students, and a greater budget for higher education.

Ivan and Ivana, 23-year-old mathematics students, were among a group of about 400 people who had walked for four days to reach Kragujevac from Belgrade.

Advertisement

“We wanted to show the people living in the country that we support them,” Ivan said. “We do not think only about the people in Belgrade.”"
Thousands rally in Serbia as anger over corruption swells - Reuters,https://www.reuters.com/world/europe/thousands-rally-serbia-over-deadly-railway-disaster-2025-02-15/,Reuters,2025-02-16,Failed to extract: Article `download()` failed with 401 Client Error: HTTP Forbidden for url: https://www.reuters.com/world/europe/thousands-rally-serbia-over-deadly-railway-disaster-2025-02-15/ on URL https://www.reuters.com/world/europe/thousands-rally-serbia-over-deadly-railway-disaster-2025-02-15/
Serbian Students to Government: “You Have Blood on Your Hands” - Foreign Policy In Focus,https://fpif.org/serbian-students-to-government-you-have-blood-on-your-hands/,Foreign Policy In Focus,2025-02-05,"For 15 minutes each day for the last three months, the uninterrupted silence in Serbia is an impressive manifestation of power, unity, and determination.

A newly constructed canopy collapsed in front of the central station in Novi Sad on November 1, 2024 at 11:52 am. Fifteen people lost their lives and two others were seriously injured. This tragedy now represents a powerful symbol of a state corruption, ineptitude, graft, and criminality. The motto of the student revolt in Serbia became “You have blood on your hands.”

Under President Aleksandar Vučić and his Serbian Progressive Party (SNS), which has ruled the country for over 12 years, Serbian democracy has obviously collapsed along with part of the railway station in Novi Sad. Still, Vučić has followers in the country and semi-allies all around the globe that have their own agendas. Moscow wants to keep a finger in that part of Europe. The European Union is counting on Serbia’s lithium and would also like to diminish Putin’s influence in that part of the Balkans. The Chinese are already business partners (including the construction of the collapsed canopy).

As it turns out, the United States also has some interests in the country. Jared Kushner, President Donald Trump’s son-in-law, happily posed for the cameras in Belgrade where he is reportedly working on a deal to build a Trump-branded hotel. Ironically enough, the site for the future hotel is that of the General Staff Building in Belgrade bombed by NATO in 1999. Various Gulf states are expected to provide the necessary capital. Many Serbian students and many citizens are not impressed.

Students Have Had Enough

In their recent letter to students around the world, students from the Faculty of Dramatic Arts from Belgrade declare: “The world is on the brink of collapse, representative democracy is failing, and our future is at risk. This is the only way to take control and change the course of the world. There are countless reasons for a blockade, and you know best what yours is.”

For the last three months, Serbian students have engaged in ever-growing protests, blockades, and a general strike that has involved tens of thousands, even occasionally 100,000 people as other citizens join. Each day at 11:52 am, protestors stop for 15 minutes of silence for the victims. This action resonates with undeniable power, for it derives not from resignation but well-articulated revolt. Before and after the silence, protestors grab for their whistles, which is the only weapon they use. The revolt is spreading.

The students are demanding full documentation of the reconstruction of the railway station, prosecution of those responsible for the tragedy, criminal charges against the people who attacked students, professors, and citizens at earlier commemorative gatherings, and the dismissal of charges against all those arrested and detained at those protests.

Some documents about the reconstruction have been released; the charges against the arrested students have been dismissed. Serbian prosecutors have also indicted 13 people for their role in the disaster, including the former minister for construction, transport, and infrastructure who resigned days after it occurred. The Serbian prime minister also stepped down. But protesters have said that more must be done to hold people politically and criminally accountable. The students aren’t demanding the resignation of the president, but other protestors are calling for this.

The movement in Serbia continuous to grow. On January 27, students, supported by their professors, public figures, judges, farmers, lawyers, journalists, medical staff, taxi drivers, and employees of the state electricity company blocked a major intersection in Belgrade. This action followed calls for a general strike when many people stopped work and schools, as well as small businesses, closed. An estimated 100,000 people attended a demonstration in Belgrade, and anti-government rallies have spread to more than 100 provincial towns and villages nationwide. Farmers are forming chains around the students with their tractors to protect them from government thugs who have crashed into crowds with cars or hit protesters randomly with batons.

Parents, neighbors, and strangers are showing solidarity by bringing coffee, food and blankets for active participants. Over the weekend, some 900 people walked and another 400 cycled 80 kilometers from Belgrade to Novi Sad, helping to block bridges that have been rebuild after NATO aircraft destroyed three of them during their controversial military intervention against Yugoslavia in 1999. A huge number of motorcycles followed. The blockade of Novi Most lasted 27 hours and ended when participants thoroughly cleaned the bridge and its environs. Later in the day Belgrade taxi drivers arrived in large numbers to take home those who came by foot two days previously. New actions and locations will be announced shortly.

Government Responses

Aleksandar Vučić has de"
Serbia’s Mass Protests Against a Crony-Capitalist Government - Jacobin magazine,https://jacobin.com/2025/02/serbia-protests-novi-sad-railway,Jacobin magazine,2025-02-01,"Soon after the roof canopy of Novi Sad’s central train station collapsed last November 1, killing fifteen people, a TV reporter asked local journalist Igor Mihaljević to respond to the event. With devastating and incisive judgement, he offered the context missing in Western media coverage of the incident and the protests of the last few months. For one, Mihaljević noted, this was the latest incident in the often tragic history of Serbia’s second-largest city. In its past, Novi Sad suffered the genocidal Hungarian army campaign that massacred Jews, Serbs, and Romani across the region. That was in the same era as the devastating military occupation of Yugoslavia by Nazi Germany and its client states. More recently, there was the seventy-eight-day NATO bombing campaign in 1999, which killed 527 Yugoslavs and hobbling major cities like Novi Sad by taking out key infrastructure. But this time, Mihaljević argued, was different — for now it was the Serbian state itself killing its people. The train station collapse has left both the city and the nation in shock, triggering primal fears of the sky falling overhead. Many Serbs, especially in Novi Sad, now regard overhead structures with suspicion, with some even avoiding the newly constructed, Chinese-funded high-speed railway. However, the aftermath has also sparked a powerful wave of protests, so intense that they threaten to topple President Aleksandar Vučić, sending shock waves through his corrupt Serbian Progressive Party (SNS).

Student Protests Led by student organizers from over thirty universities and faculties — most notably the faculty of dramatic arts in Belgrade, which began the call to action in late November — the movement has rallied around four key demands. One is the release of all internal documents related to renovations at the Novi Sad railway station, carried out by Serbian Railway Infrastructure, the Serbian state, China Railway International Co. Ltd., and China Communications Construction Company Ltd., which began the station’s construction in 2021. The other demands are the dismissal of all charges against arrested and detained students and young protesters who have been demonstrating since the canopy collapsed; the filing of criminal charges and the prosecution of those responsible for the attacks on students and professors; and a 20 percent increase in budget allocations for public higher-education institutions in Serbia to cover material expenses. Since November, students have organized massive strikes, with such protests as a gathering of over 100,000 people at Belgrade’s Slavija Square on December 22. The protests continued into the New Year, with demonstrators declaring there was nothing to “celebrate” until justice was achieved. They demonstrations are still ongoing, having recently forced the resignations of prime minister Milos Vučević and Novi Sad’s mayor Milan Đurić on January 28. Students have held assemblies and effectively conveyed their message to the media. With a keen sense for Instagramable moments, they have gracefully steered social media campaigns, often featuring overhead drone footage of the protests and eye-catching visuals. Their actions have not only challenged state power, but their demands — particularly for criminal charges and prosecution — offer a stark critique of the deeper systemic rot: a corrupt judicial system that upholds a mafia state and a government that not only fails its people but is complicit in their deaths. What began as a response in Serbia’s major cities has now evolved into a nationwide movement, spreading to smaller towns as well. As noted by Novi Sad activist and scholar Aleksandar Matković on X/Twitter, a map of Serbia showing protests happening across almost all municipalities nationwide shows that the situation is likely to escalate into either a government crisis or more conflict. The events have also sparked deep cultural anxieties tied to national identity. This Monday, the Serbian Orthodox Church published an article damning the student protests, asserting that they were pushing an “anti-Saint Sava, anti-Christian and anti-Serbian narrative and way of life.” This claim that students live in a “parallel universe” was walked back in a statement on Tuesday, which clarified that the text did not reflect the stance of the Church’s top cleric, Patriarch Porfirije. Recently, the protests have intensified into violence, with protesters engaging in fierce clashes with supporters of the ruling SNS party. On Tuesday night at around 3:00 a.m., a group of SNS supporters launched an attack on students in Novi Sad. Many Serbians were especially shocked by a series of interviews widely covered in media in which SNS supporters from the city of Jagodina denounced the students. One older man even said that he would welcome attacks on his daughter if she were protesting.

Nationalists and Multinationals This is a moment of growing interest in the power of mass movements to drive political change. Followi"
Are Serbian Protests Starting To Loosen Vucic's Grip On Power? - Radio Free Europe / Radio Liberty,https://www.rferl.org/a/serbian-protests-president-vucic-government/33304413.html,Radio Free Europe / Radio Liberty,2025-02-06,"BELGRADE -- With mass protests sweeping the nation, Serbian President Aleksandar Vucic is facing what could be the biggest challenge yet to his political power.

What began as student demands for accountability after 15 people were killed in the collapse of a concrete canopy in Novi Sad has evolved into a broader movement opposing what protesters say is the deteriorating rule of law and systemic corruption under Vucic. Over the last three months, tens of thousands of people have taken to the streets to protest in over 200 cities and towns.

""This is not only the most serious political crisis of the government but also a deep social crisis. The students are not looking for a change of government but a correction of the system,"" political analyst Bosko Jaksic told RFE/RL's Balkan Service.

One-Month Strike

The protests are multiplying and have become a focal point for a variety of social groups, each with their own complaints.

University teachers have voiced support for the students, but they are also raising concerns about the decline in academic freedom. Farmers have protected the students from angry motorists by bringing their tractors to blockades, but they are also demanding improved agricultural conditions and increased subsidies.

Separate protests have also been held by public transportation workers, pensioners, and education staff, among others.

Women knocked down by car at Serbia silent protest over Novi Sad deadly roof collapse No media source currently available 0:00 0:00:10 0:00

Parts of the judiciary -- often criticized as lacking independence -- have also come on board. Seventeen judges from the high court in Belgrade have publicly endorsed the demands of the students in an unprecedented open letter. Judges from the cities of Nis and Kragujevac have also lent their support.

Lawyers from the Serbian Bar Association have also announced a one-month strike in support of the protests, drastically slowing down judicial proceedings.

Edward P. Joseph, a lecturer at the Baltimore-based Johns Hopkins University, told CNN that normally judges ""would never dare to raise their head in such public fashion"" and the fear factor is now gone.

While some city dwellers have expressed frustrations with protesters snarling traffic, 61 percent of Serbians support the blockades and protests, according to a survey conducted by the Belgrade-based Center for Research, Transparency, and Accountability.

'Fed Up With Corruption'

The demonstrations have revealed a significant weakness in Vucic's system of authority. While the presidency is a largely ceremonial position, Vucic amassed significant power as the leader of the ruling conservative-nationalist Serbian Progressive Party (SNS). While he stepped down from that position in 2023, he is still widely regarded as the main decision-maker.

Chiefly concerned with fostering ties with domestic and foreign investors, Vucic's administration has underestimated the likelihood of opposition from a professional class fed up with corruption and clientelism, observers of Serbian politics say.

""It seems that Vucic is constantly making concessions in areas, where just days ago, he said he wouldn't budge. The aura of an infallible leader, an ultimate authority for his voters, is beginning to erode,"" said Nikola Burazer from the Belgrade-based Center for Contemporary Politics.

For example, Vucic initially rejected the students' request for the release of documentation regarding the reconstruction of the Novi Sad railway station. However, he later instructed the government and the prosecutor's office to make the papers public.

And, crucially, there are signs that Vucic is starting to lose support in one of his key strongholds: the media.

Since the protests began over three months ago, Radio Television of Serbia (RTS), the state-owned public broadcaster, had mostly been ignoring the protests.

That changed last weekend when RTS -- which had also been targeted by demonstrators -- opened its flagship television news program with the protests in Novi Sad. The broadcaster ran drone footage that showed tens of thousands of protesters blocking three bridges over the Danube River and bringing the city to a standstill.

Staff at Radio Television Vojvodina, RTS's sister network in Serbia's autonomous province, staged a walkout in protest at their coverage and performed an alternative reading of the news.

This shift, Burazer said, is a sign that the state broadcaster had ""reacted to the pressure of the students and the wider public, and perhaps is the result of a changing atmosphere in society.""

Milosevic's Minister

Media has always been the bedrock of Vucic's power. In 1998, he was appointed information minister by former Serbian strongman Slobodan Milosevic, who died in 2006 while on trial for war crimes at The Hague.

During his time as information minister -- a period that included the war in Kosovo and NATO's intervention in the conflict -- Vucic introduced harsh penalties for no"
Major anti-corruption protests in Serbia add to pressure on President Vučić - The Guardian,https://www.theguardian.com/world/2025/feb/01/student-led-protests-in-serbia-mark-railway-station-deaths-blamed-on-graft,The Guardian,2025-02-02,"Serbia’s powerful populist leader Aleksandar Vučić was facing his biggest challenge yet as student-led demonstrations intensified at the weekend in what was being called the Balkan country’s greatest ever protest movement.

Three months to the day after a concrete canopy collapsed at the entrance of Novi Sad’s railway station, tens of thousands of protesters converged on the northern city, blockading its three bridges in commemoration of the 15 people killed in the accident. The tragedy has been blamed squarely on government ineptitude and graft.

“What we are seeing are the greatest street protests in the history of Serbia,” said Dejan Bagarić, a master’s student speaking from the city. “There’s never been anything like it, people are really animated because everybody has had enough of corruption and this government is very corrupt.”

Saturday’s outpouring of dissent – the culmination of sit-ins and protests that began in November – have focused on what demonstrators have described as the government’s striking unwillingness to accept any accountability for the tragedy. Reconstruction of the station was carried out in collaboration with a Chinese state consortium, as part of a large infrastructure project that critics contend paid little, if any, attention to safety regulations.

“There was no transparency, no public tenders for the contract and then when the accident happened, no desire for justice,” said Čedomir Stojković, a leading human rights lawyer who filed a criminal complaint that eventually spurred prosecutors to launch an inquiry. “Instead, the government did what it always does, it went ahead with a full-scale cover-up. There’s a lot of solidarity, a lot of empathy for the students, more and more people are coming out in support of them, professors, farmers, everyone.”

1:06 Serbian president not interested in 'most corrupt and deceitful' Guardian coverage – video

By last week the anti-government rallies had spread to more than 100 provincial towns and villages nationwide.

The scale of the protests had, said Stojković, proved “beyond any doubt” that the demonstrations were not only fuelled by disgust over corruption, an ill that has come to be identified with everything that is wrong with the EU candidate nation, but were a way for citizens to vent their unhappiness with their nationalist president’s increasingly authoritarian rule.

For a generation raised on the internet, knowledge of the world beyond impoverished Serbia is readily available. Also unprecedented is the ability to rapidly arrange protests by circumventing state-controlled media – tens of thousands of striking students participated in a 24-hour blockade of a major intersection in Belgrade last week.

Vučić had faced similar protests last year following allegations of rigged elections, facilitated, opponents say, by a media landscape that remains one of the most censored in Europe. Unlike these demonstrations, however, it was opposition parties, themselves often discredited, who led the backlash.

“People want the government and Vučić to finally go,” said Stojković, who participated as a student in mass protests over 25 years ago against Slobodan Milošević, the late Yugoslav strongman and former president of Serbia, whose policies triggered the region’s descent into bloodthirsty genocide. The protests paved the way to Milošević eventually being toppled in 2000.

“These students were children when Vučić became president eight years ago and they want democracy. It’s been building up … this is the moment just before the balloon is pricked by the needle. It has caught [the government] unaware.”

On Friday, as hundreds of students reached Novi Sad on foot after a two-day, 80km trek from Belgrade, Vučić, addressing the protests, told the nation: “Our country is under attack, from abroad and from inside,” echoing earlier claims that the protesters were working for unspecified foreign powers to oust the government.

The ruling Serbian Progressive party has tried to defuse the situation by releasing classified documents about the railway station’s collapse and has even gone so far as to say it will meet all the students’ demands. This week, in what was seen as a first victory, Vučić’s close ally, prime minister Miloš Vučević, resigned but few believe the protests are about to fizzle out.

With youth unemployment at record levels and graduates forced in ever growing numbers to move abroad in search of work, there is a growing sense among young Serbs that there is little to lose.

To defy government crackdowns, the students have deliberately avoided being associated with a leadership of any sort, ensuring that decisions are taken in concert in plenary sessions.

“We are not choosing violence and for now the government is not choosing violence either,” Bagarić said at the protests in Novi Sad.

As the protests swelled, Srđan Milivojević, who leads the opposition Democratic party, said it was clear Serbia’s young demonstrators were now dicta"
Thousands mark Serbian Statehood Day with mass protest against corruption - FRANCE 24 English,https://www.france24.com/en/live-news/20250215-thousands-mark-serbian-statehood-day-with-anti-corruption-protest,FRANCE 24 English,2025-02-15,"To display this content from YouTube, you must enable advertisement tracking and audience measurement.

Thousands of Serbians blocked the main boulevard of the central city Kragujevac on Saturday, the latest in a series of student-led protests to rock the Balkan country after the deadly collapse of a train station roof.

Crowds gathered in the city's centre on the start of Serbia's national Statehood holiday calling for greater government accountability and reforms.

Protesters filled the streets well into the afternoon, waving flags marked with bloody handprints -- the protests' logo -- as they organised performances and shouted ""pump"", indicating that they are not giving up.

The university student-led movement has put increasing pressure on Serbia's government, spurring the resignation of several high-ranking officials, including prime minister Milos Vucevic at the end of January.

The collapse of the station roof in Novi Sad in November last year, which killed 15 people, followed extensive renovations to the building in the northern city and fuelled long-standing anger over corruption and demands for accountability.

Watch moreSerbia: Anti-corruption movement gains ground after deadly train station accident

The Kragujevac blockade is the third day-long city demonstration, after Belgrade and Novi Sad a few weeks ago.

At 10:52 GMT, the time of the tragedy, protesters observed 15 minutes of silence to honour the victims.

In one part of the boulevard, 15 chairs with the names and year of birth of the victims were placed where citizens laid flowers, while climbers hung a banner on the top of a 15-storey building saying: 15 lives, 15 hours of protest, 15 weeks without accountability.

The blockade is planned to last past midnight, also marking the anniversary of the first Serbian Constitution in 1835, one of the most progressive in Europe at the time, with students calling on institutions to uphold constitutional principles.

Support from professors

Belgrade chemistry student Nikola Knezevic, 25, said it was important to hold protests beyond the capital.

""To show not only Belgrade, but all these cities that support our demands, and that we support them. That is the message,"" Knezevic said.

Dragana Mitic, 55, a professor from the same faculty, hailed the students for ""fighting against corruption"".

""They have rekindled my hope. We tried 25 years ago, but the system deceived us. Now we hope that won't happen,"" he told AFP.

To quell the months-long protests, the government has sought to meet several of the students' demands.

President Aleksandar Vucic, at a rally in the northern town of Sremska Mitrovica, told thousands of his supporters the country was being attacked from the outside ""helped by many inside who manipulate our children"".

He urged the protesters to engage in dialogue and to listen to him.

""Declare victory, you have had all your demands met, return to your benches,"" he said.

""That would be best you have done for your parents, for your country, but also for yourselves, and for your future families.""

They were welcomed with fireworks, whistles and vuvuzelas, and chants of ""Bravo"" and ""Serbia has risen"".

""We are sending a message that this is a meeting with the people, with history and with the future that we are now building,"" Milica Pavlovic, a 20-year-old electrical engineering student told AFP after completing the 130-kilometre route (80-mile) route from Belgrade.

(AFP)"
"Serbia's striking students, president hold parallel rallies - Voice of America",https://www.voanews.com/a/serbia-s-striking-students-president-hold-parallel-rallies/7976209.html,Voice of America,2025-02-15,"Serbia’s striking students and supporters of populist President Aleksandar Vucic were holding parallel rallies Saturday as both marked the country's Statehood Day with notably contrasting messages.

The student-led protest is the latest in a nationwide anti-graft movement that reflects mounting calls for fundamental political changes in the Balkan state, triggered after a concrete canopy on a railway station in the northern city of Novi Sad collapsed on Nov. 1, killing 15 people.

The rally in the central industrial city of Kragujevac drew tens of thousands of people demanding justice over the accident and respect for the rule of law. The movement has been seeking to root out rampant endemic corruption.

Students chose Kragujevac for Saturday's rally because of its history. In 1835, Serbia was still part of the Ottoman Empire, and people in Kragujevac announced a new constitution that sought to limit the powers of the then-rulers. The date is now celebrated as Statehood Day.

People from all over the country streamed into Kragujevac for Saturday’s gathering.

“I am here to support this student rebellion, which has grown into a civil rebellion, and to fight for the rule of law and justice in this society, so that Serbia becomes a country where life is dignified,” said a woman from Belgrade who identified herself only by the name Teodora.

The students arrived Friday to cheers from the residents. Ahead of the protest, they organized marches in various parts of the country, encouraging people to converge in Kragujevac. Some walked; others ran or cycled. Along their journey, people greeted them with food and refreshments and offered accommodation, many crying and expressing hope for change.

The president's rally

Meanwhile, in Sremska Mitrovica, a small town northwest of Belgrade, Vucic is expected to recycle a traditional nationalist theme, warning that the West wants to unseat him by force and that this could lead to the breakup of the country.

Serbian authorities were set to bus in thousands of supporters from throughout the country as well as neighboring Bosnia. Some opposition activists have said they will try to prevent their arrival.

Vucic said on Instagram that his supporters wish to “defend and save Serbia from those who want to destroy it.”

The anti-graft movement is Vucic's biggest challenge in recent years. The president — who has ruled Serbia with a firm grip on power for more than a decade — and his right-wing Serbian Progressive Party have been previously accused of stifling democratic freedoms, publicly discrediting opponents and rigging elections, according to international vote observers.

The canopy disaster, widely believed to have happened due to government corruption, has become a flashpoint for wider discontent with the authoritarian rule, with university students at the forefront of the anti-graft uprising. Their determination, youth and creativity have struck a chord among people widely disillusioned with politicians.

Prosecutors have charged 13 people over the canopy fall, and protests have forced the resignation of Serbia’s prime minister. But students have said their protests will continue until their demands for full accountability are met.

In the past three months, the president has shifted between accusing the students of working for foreign powers to offering concessions and claiming he has fulfilled each of their demands. But during a trip to the Serb-controlled part of neighboring Bosnia this week, Vucic has reiterated claims about an alleged plot from abroad to overthrow him and his government.

The authorities, Vucic said, “couldn’t believe how much money has been invested to bring down the government in Serbia.” He offered no proof for the claims.

Vucic's trip to the Serb-controlled part of Bosnia was apparently designed to stress Serbian unity with the Serbs in Bosnia, where a bid to create a pan-Serb state in the 1990s’ was widely blamed for triggering a bloody war that killed more than 100,000 people killed and displaced millions."
Thousands mark Statehood Day of Serbia with anticorruption protest - Al Jazeera English,https://www.aljazeera.com/gallery/2025/2/16/thousands-mark-statehood-day-of-serbia-with-anticorruption-protest,Al Jazeera English,2025-02-16,"Thousands of Serbians blocked the main boulevard of the central city Kragujevac, the latest in a series of student-led protests over last November’s deadly collapse of a train station roof.

The increasing pressure being applied by the university student-led movement has already forced the resignation of several high-ranking officials, including Prime Minister Milos Vucevic, at the end of January.

Crowds gathered in the city centre at the start of Serbia’s statehood holiday, calling for greater government accountability and reforms.

Protesters filled the streets well into the afternoon on Saturday, waving flags marked with bloody handprints – the protests’ logo.

The Kragujevac blockade is the third daylong city demonstration after Belgrade and Novi Sad a few weeks ago.

The collapse of the station roof in Novi Sad in November last year, which killed 15 people, followed extensive renovations to the building in the northern city.

The deaths fuelled longstanding anger over corruption and demands for accountability.

Advertisement

At 10:52 GMT, the time of the tragedy, protesters observed 15 minutes of silence to honour the victims.

The blockade was planned to last past midnight, marking the anniversary of the enactment of the Serbian Constitution in 1835, making it one of the most progressive in Europe at the time.

President Aleksandar Vucic, at a rally in the northern town of Sremska Mitrovica, told thousands of supporters the country was being attacked from the outside, “helped by many inside who manipulate our children”.

He urged the protesters to engage in dialogue and to listen to him.

“Declare victory, you have had all your demands met, return to your benches,” he said.

The government has already tried to meet some of the students’ demands in a bid to quell the months-long protests.

The students in Kragujevac however are continuing to call for greater transparency.

In advance of the rally, hundreds of students from Novi Sad, Belgrade and the southern city of Nis staged a four-day march that converged on Friday night on Kragujevac’s centre."
